Iteration	Posterior	Likelihood	Prior	sigma2
1260	-64.32072	-68.84525	4.524533	0.003613258
1270	-65.52904	-70.19772	4.668685	0.0031282
1280	-65.2448	-69.89513	4.650323	0.00318617
1290	-65.50794	-70.17534	4.667406	0.003132206
1300	-64.37554	-68.92742	4.551879	0.003515788
1310	-67.89574	-72.13828	4.242531	0.00479039
1320	-64.41047	-68.97128	4.560804	0.003484549
1330	-64.76705	-69.19094	4.423896	0.003995814
1340	-64.76201	-69.37243	4.610416	0.003315892
1350	-64.32359	-68.85183	4.528243	0.003599877
1360	-65.21793	-69.60137	4.383446	0.004160755
1370	-65.89179	-70.23021	4.338424	0.004352363
1380	-64.31968	-68.8351	4.515416	0.003646349
1390	-64.32542	-68.85539	4.529975	0.003593647
1400	-64.49933	-68.9583	4.45897	0.003858094
1410	-64.6122	-69.20576	4.593556	0.003372274
1420	-64.47606	-68.93907	4.463007	0.003842548
1430	-65.71223	-70.39156	4.679334	0.003095065
1440	-64.4759	-69.04958	4.573681	0.003439966
1450	-65.59588	-70.26854	4.672663	0.003115781
1460	-64.55731	-69.1436	4.586283	0.003396888
1470	-65.76192	-70.10818	4.346253	0.004318421
1480	-64.65628	-69.09293	4.436641	0.003945208
1490	-64.44617	-68.91482	4.468652	0.003820918
1500	-67.33334	-72.08531	4.751968	0.002878229
1510	-64.74953	-69.17533	4.4258	0.00398821
1520	-65.44532	-69.81219	4.366872	0.004230291
1530	-64.99027	-69.62144	4.631167	0.003247793
1540	-65.31553	-69.97067	4.655141	0.003170858
1550	-66.84648	-71.13474	4.288266	0.004576238
1560	-65.04825	-69.68408	4.635825	0.003232702
1570	-64.94088	-69.56791	4.627032	0.003261251
1580	-64.36132	-68.90876	4.547444	0.003531416
1590	-64.8722	-69.28535	4.41315	0.004038984
1600	-64.60673	-69.19959	4.592864	0.003374609
1610	-64.443	-68.91229	4.469289	0.003818487
1620	-66.06294	-70.76077	4.697831	0.003038342
1630	-64.31916	-68.83671	4.517547	0.003638589
1640	-64.32085	-68.83382	4.512973	0.003655272
1650	-64.96519	-69.59427	4.629088	0.003254554
1660	-64.36492	-68.91355	4.548631	0.003527228
1670	-65.0371	-69.43522	4.398122	0.004100141
1680	-66.30333	-71.01272	4.709389	0.003003427
1690	-64.32024	-68.83432	4.514079	0.003651228
1700	-64.44026	-68.9101	4.469844	0.003816367
1710	-65.35866	-69.73165	4.372982	0.004204525
1720	-66.01129	-70.34278	4.331484	0.004382675
1730	-64.32227	-68.83323	4.510961	0.00366263
1740	-64.39177	-68.94806	4.556296	0.003500294
1750	-66.05589	-70.38484	4.328953	0.004393781
1760	-64.56569	-69.01438	4.448688	0.003897965
1770	-64.31925	-68.83626	4.517011	0.003640539
1780	-64.97945	-69.38261	4.403166	0.00407951
1790	-64.79565	-69.40942	4.613775	0.003304774
1800	-64.3668	-68.91604	4.549233	0.003525105
1810	-64.36087	-68.90816	4.547291	0.003531957
1820	-64.91522	-69.54004	4.624817	0.003268483
1830	-64.81732	-69.23594	4.418622	0.004016944
1840	-64.33519	-68.83627	4.501083	0.003698992
1850	-65.92597	-70.61683	4.690864	0.003059583
1860	-64.43429	-68.90537	4.471075	0.00381167
1870	-65.68455	-70.36233	4.677775	0.003099895
1880	-66.67076	-71.39645	4.725698	0.002954842
1890	-64.32039	-68.83418	4.513783	0.00365231
1900	-66.51737	-70.82172	4.304359	0.004503183
1910	-64.39701	-68.87662	4.479618	0.003779248
1920	-64.41423	-68.8897	4.475466	0.003794972
1930	-64.57382	-69.02134	4.447528	0.003902492
1940	-64.47227	-69.04532	4.573049	0.003442143
1950	-65.10666	-69.74699	4.640326	0.003218184
1960	-64.56378	-69.01274	4.448964	0.00389689
1970	-64.32989	-68.83419	4.504302	0.003687101
1980	-64.47717	-69.05107	4.573901	0.003439212
1990	-64.94255	-69.56973	4.627175	0.003260785
2000	-64.84316	-69.25917	4.416011	0.004027445
2010	-64.34821	-68.89083	4.542619	0.003548497
2020	-64.5078	-69.08674	4.578945	0.003421908
2030	-64.87538	-69.28822	4.412841	0.004040231
2040	-64.74406	-69.35263	4.60857	0.00332202
2050	-65.02691	-69.66105	4.634134	0.003238173
2060	-65.88386	-70.57252	4.68866	0.003066335
2070	-64.68852	-69.12127	4.432746	0.003960607
2080	-65.91068	-70.60075	4.690068	0.003062021
2090	-64.82984	-69.24719	4.417348	0.004022062
2100	-64.32592	-68.83321	4.507289	0.003676107
2110	-64.56963	-69.01775	4.448124	0.003900167
2120	-64.81189	-69.23107	4.419179	0.004014707
2130	-65.19943	-69.58431	4.384878	0.004154803
2140	-64.6092	-69.05188	4.442673	0.003921484
2150	-64.40474	-68.88244	4.477704	0.003786487
2160	-65.23776	-69.61968	4.381927	0.004167082
2170	-64.45773	-68.92413	4.466399	0.003829537
2180	-67.30416	-71.57158	4.267417	0.00467265
2190	-64.32482	-68.83308	4.508256	0.003672554
2200	-66.39169	-70.70249	4.310796	0.004474287
2210	-64.59054	-69.03573	4.445195	0.003911604
2220	-64.31908	-68.83754	4.518461	0.003635266
2230	-64.31907	-68.8377	4.51863	0.00363465
2240	-64.53696	-68.98991	4.452949	0.003881393
2250	-64.43696	-68.90748	4.470522	0.003813782
2260	-64.44524	-69.01332	4.568079	0.003459294
2270	-66.07694	-70.77547	4.698527	0.003036229
2280	-64.66514	-69.1007	4.435554	0.003949502
2290	-64.34718	-68.88938	4.542198	0.00354999
2300	-64.54259	-69.12678	4.58419	0.003404006
2310	-64.32222	-68.84893	4.526703	0.003605428
2320	-64.32222	-68.84893	4.526703	0.003605428
2330	-64.52182	-69.10293	4.581113	0.003414497
2340	-64.33619	-68.83672	4.500538	0.003701006
2350	-65.3835	-69.75471	4.371206	0.004211996
2360	-64.34478	-68.84117	4.496389	0.003716395
2370	-65.1216	-69.76304	4.641448	0.003214573
2380	-64.31936	-68.84058	4.521222	0.003625242
2390	-64.31936	-68.84058	4.521222	0.003625242
2400	-64.43155	-68.9969	4.565354	0.003468733
2410	-66.17144	-70.49397	4.322534	0.004422075
2420	-64.37764	-68.86251	4.484872	0.003759442
2430	-64.37566	-68.86111	4.485455	0.003757252
2440	-65.91551	-70.60583	4.69032	0.003061248
2450	-65.90099	-70.23887	4.337881	0.004354729
2460	-64.86365	-69.27764	4.413984	0.004035614
2470	-64.31982	-68.84249	4.522678	0.003619966
2480	-64.31931	-68.84035	4.521037	0.003625911
2490	-65.23342	-69.61568	4.382258	0.004165703
2500	-65.02332	-69.65716	4.633846	0.003239104
2510	-65.08905	-69.48279	4.393741	0.004118143
2520	-64.92436	-69.54997	4.625612	0.003265887
2530	-65.59995	-69.95645	4.3565	0.004274396
2540	-64.86642	-69.28013	4.413714	0.004036706
2550	-64.32009	-68.84342	4.523327	0.003617619
2560	-64.86781	-69.28139	4.413577	0.004037257
2570	-64.43788	-68.90821	4.470331	0.003814509
2580	-64.79352	-69.21461	4.421084	0.004007063
2590	-68.99284	-73.19373	4.200887	0.004994093
2600	-64.32207	-68.83328	4.511211	0.003661716
2610	-64.33695	-68.83708	4.50013	0.003702517
2620	-64.75368	-69.17902	4.425346	0.003990024
2630	-64.3786	-68.86319	4.484593	0.003760491
2640	-64.99739	-69.62914	4.63175	0.0032459
2650	-64.43969	-69.00668	4.566992	0.003463054
2660	-64.58034	-69.02695	4.446609	0.003906077
2670	-64.96052	-69.36539	4.404868	0.004072575
2680	-64.33105	-68.83459	4.50354	0.003689912
2690	-64.48245	-68.94432	4.461871	0.003846916
2700	-64.38648	-68.86886	4.482381	0.003768821
2710	-66.17802	-70.88149	4.703463	0.003021278
