Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
117	1	-67.64204	-71.895	4.252954	0.004740721
118	0	-64.37786	-68.93041	4.552549	0.003513435
119	1	-65.36909	-69.74133	4.372234	0.00420767
120	0	-64.32415	-68.83305	4.508895	0.003670209
121	1	-64.36235	-68.85202	4.489668	0.003741457
122	0	-64.60202	-69.19428	4.592263	0.003376636
123	1	-64.33437	-68.83591	4.501543	0.003697289
124	0	-65.60217	-70.27521	4.673032	0.003114632
125	1	-64.38161	-68.93521	4.553599	0.003509746
126	0	-64.31967	-68.84194	4.522274	0.00362143
127	1	-64.33017	-68.86373	4.533552	0.003580817
128	0	-65.82602	-70.16837	4.342349	0.004335314
129	1	-64.32014	-68.84356	4.523425	0.003617262
130	0	-65.099	-69.49192	4.392917	0.004121535
131	1	-64.32342	-68.85149	4.528068	0.003600509
132	0	-64.60444	-69.19701	4.592572	0.003375594
133	1	-65.26096	-69.9124	4.651441	0.003182613
134	0	-64.3259	-68.85628	4.530386	0.003592173
135	1	-64.31912	-68.83703	4.517912	0.003637262
136	0	-64.41639	-68.97853	4.562132	0.003479926
137	1	-64.56572	-69.0144	4.448684	0.00389798
138	0	-64.59568	-69.18712	4.591446	0.003379396
139	1	-65.18102	-69.82683	4.645811	0.003200579
140	0	-64.99323	-69.62464	4.63141	0.003247005
141	1	-64.6039	-69.1964	4.592504	0.003375824
142	0	-66.71872	-71.44644	4.727723	0.002948863
143	1	-64.66595	-69.26598	4.600026	0.003350524
144	0	-64.34899	-68.89193	4.542934	0.003547379
145	1	-65.44431	-69.81126	4.366942	0.004229997
146	0	-64.78076	-69.39306	4.612304	0.003309639
147	1	-64.63112	-69.07093	4.43981	0.003932725
148	0	-64.33306	-68.83536	4.502301	0.003694488
149	1	-64.33367	-68.86938	4.535701	0.003573129
150	0	-64.36091	-68.90822	4.547306	0.003531902
151	1	-64.33293	-68.83531	4.502379	0.003694199
152	0	-64.45641	-68.92306	4.466651	0.003828572
153	1	-64.62014	-69.06138	4.441231	0.003927142
154	0	-64.32202	-68.83329	4.511275	0.003661481
155	1	-64.50998	-69.08926	4.579287	0.003420738
156	0	-64.9952	-69.62677	4.631571	0.003246481
157	1	-64.4582	-68.92451	4.466309	0.003829881
158	0	-64.44909	-68.91716	4.468074	0.003823127
159	1	-65.97101	-70.30481	4.333796	0.004372551
160	0	-64.92467	-69.33283	4.408159	0.004059194
161	1	-66.47822	-70.78457	4.306345	0.004494247
162	0	-64.90619	-69.53021	4.624025	0.003271071
163	1	-65.10245	-69.49509	4.392633	0.004122706
164	0	-65.01036	-69.64317	4.632804	0.003242482
165	1	-66.05075	-70.38	4.329243	0.004392507
166	0	-64.99547	-69.39722	4.401743	0.004085318
167	1	-64.90475	-69.31478	4.410028	0.004051613
168	0	-65.10041	-69.49321	4.392801	0.004122013
169	1	-64.36669	-68.91588	4.549195	0.003525237
170	0	-65.55971	-69.91885	4.359139	0.00426313
171	1	-64.40411	-68.88196	4.477857	0.003785909
172	0	-64.34897	-68.84359	4.494618	0.003722983
173	1	-64.85532	-69.27012	4.414804	0.004032308
174	0	-64.4106	-68.97143	4.560833	0.003484449
175	1	-64.32918	-68.83397	4.504792	0.003685295
176	0	-66.73633	-71.02987	4.293537	0.004552177
177	1	-64.36465	-68.85354	4.488899	0.003744334
178	0	-64.72758	-69.33441	4.606839	0.003327775
179	1	-64.89509	-69.30603	4.410946	0.004047895
180	0	-64.33338	-68.83549	4.502115	0.003695174
181	1	-64.69817	-69.12979	4.431611	0.003965102
182	0	-64.3655	-68.91432	4.548818	0.003526566
183	1	-65.33827	-69.71272	4.374454	0.004198337
184	0	-65.22524	-69.60813	4.382884	0.004163096
185	1	-64.43426	-68.90535	4.471081	0.003811648
186	0	-66.21495	-70.92018	4.705231	0.003015942
187	1	-64.76393	-69.18816	4.424232	0.00399447
188	0	-65.98427	-70.67814	4.693867	0.00305041
189	1	-64.32024	-68.84388	4.523638	0.003616493
190	0	-65.17533	-69.56209	4.386766	0.004146966
191	1	-64.60871	-69.05145	4.442739	0.003921226
192	0	-64.33025	-68.86384	4.533599	0.00358065
193	1	-64.52761	-68.98201	4.454393	0.00387579
194	0	-64.71472	-69.14442	4.4297	0.003972689
195	1	-64.32544	-68.83314	4.507702	0.003674588
196	0	-65.01423	-69.41433	4.400098	0.004092045
197	1	-65.64673	-70.32235	4.675617	0.003106592
198	0	-65.04998	-69.447	4.397022	0.004104652
199	1	-65.06098	-69.6978	4.636821	0.003229483
200	0	-64.87821	-69.29078	4.412567	0.004041338
201	1	-64.3919	-68.87284	4.480933	0.003774282
202	0	-66.53159	-70.83523	4.303641	0.004506415
203	1	-64.45143	-69.02069	4.569261	0.003455206
204	0	-64.42513	-68.89816	4.47303	0.003804229
205	1	-65.50505	-70.17228	4.66723	0.003132757
206	0	-64.96049	-69.58918	4.628694	0.003255836
207	1	-65.59067	-69.94777	4.357106	0.004271809
208	0	-64.37667	-68.86182	4.485157	0.003758372
209	1	-64.61609	-69.21014	4.594043	0.00337063
210	0	-64.39752	-68.87701	4.479487	0.003779743
211	1	-66.05862	-70.38742	4.328799	0.004394458
212	0	-64.58095	-69.17046	4.58951	0.003385945
213	1	-64.98059	-69.38366	4.403064	0.004079928
214	0	-64.43209	-68.99755	4.565463	0.003468353
215	1	-64.55034	-69.13564	4.585301	0.003400226
216	0	-64.31954	-68.84142	4.521879	0.003622861
217	1	-64.3535	-68.84634	4.492839	0.003729611
218	0	-65.40049	-69.7705	4.370003	0.004217066
219	1	-64.64016	-69.23715	4.596991	0.003360709
220	0	-65.25318	-69.90409	4.650904	0.003184321
221	1	-64.94089	-69.34755	4.406658	0.004065288
222	0	-64.34147	-68.83936	4.497891	0.003710815
223	1	-64.32425	-68.83305	4.508804	0.003670541
224	0	-64.37262	-68.92365	4.551021	0.003518806
225	1	-64.42574	-68.89864	4.472897	0.003804735
226	0	-64.32011	-68.84347	4.523364	0.003617483
227	1	-64.47563	-68.93871	4.463085	0.00384225
228	0	-64.85981	-69.47967	4.619858	0.003284731
229	1	-64.77843	-69.39051	4.612072	0.003310406
230	0	-64.63976	-69.23671	4.596943	0.00336087
231	1	-65.27821	-69.65709	4.378874	0.004179822
232	0	-64.3202	-68.84376	4.523561	0.003616772
233	1	-64.36993	-68.85713	4.487199	0.003750705
234	0	-64.38991	-68.94573	4.555819	0.003501964
235	1	-64.72602	-69.33269	4.606674	0.003328326
236	0	-64.40791	-68.88485	4.476943	0.00378937
237	1	-64.3505	-68.89403	4.543532	0.003545259
238	0	-64.68609	-69.28841	4.602317	0.003342858
239	1	-64.32804	-68.83365	4.505613	0.003682273
240	0	-64.55044	-69.13576	4.585315	0.003400179
241	1	-65.54821	-69.90811	4.359901	0.004259885
242	0	-64.583	-69.02924	4.446237	0.00390753
243	1	-64.86762	-69.48819	4.620572	0.003282388
244	0	-64.32281	-68.83313	4.510315	0.003665
245	1	-64.592	-69.18296	4.590967	0.003381015
246	0	-64.32606	-68.83323	4.507166	0.003676558
247	1	-64.82079	-69.23906	4.418267	0.004018368
248	0	-64.40968	-68.88621	4.476524	0.003790958
249	1	-64.62421	-69.21926	4.595051	0.003367235
250	0	-64.4473	-68.91573	4.468427	0.003821778
251	1	-64.33189	-68.86654	4.534645	0.003576907
252	0	-64.32072	-68.84525	4.524533	0.003613258
253	1	-64.63277	-69.07237	4.439598	0.00393356
254	0	-65.52904	-70.19772	4.668685	0.0031282
255	1	-64.36344	-68.85274	4.489301	0.003742832
256	0	-65.2448	-69.89513	4.650323	0.00318617
257	1	-66.66793	-70.9648	4.296867	0.004537046
258	0	-65.50794	-70.17534	4.667406	0.003132206
259	1	-65.38194	-69.75326	4.371318	0.004211527
260	0	-64.37554	-68.92742	4.551879	0.003515788
261	1	-64.387	-68.94206	4.555056	0.003504635
262	0	-67.89574	-72.13828	4.242531	0.00479039
263	1	-64.49568	-68.95526	4.459586	0.003855716
264	0	-64.41047	-68.97128	4.560804	0.003484549
265	1	-64.37242	-68.85885	4.48643	0.003753592
266	0	-64.76705	-69.19094	4.423896	0.003995814
267	1	-64.86425	-69.27817	4.413926	0.00403585
268	0	-64.76201	-69.37243	4.610416	0.003315892
269	1	-65.29687	-69.67436	4.377488	0.004185622
270	0	-64.32359	-68.85183	4.528243	0.003599877
271	1	-65.72402	-70.07262	4.3486	0.004308296
272	0	-65.21793	-69.60137	4.383446	0.004160755
273	1	-66.17969	-70.50177	4.322083	0.00442407
274	0	-65.89179	-70.23021	4.338424	0.004352363
275	1	-64.36492	-68.85373	4.488808	0.003744677
276	0	-64.31968	-68.8351	4.515416	0.003646349
277	1	-64.88035	-69.29271	4.41236	0.004042174
278	0	-64.32542	-68.85539	4.529975	0.003593647
279	1	-64.3249	-68.85441	4.529512	0.003595312
280	0	-64.49933	-68.9583	4.45897	0.003858094
281	1	-66.20835	-70.52887	4.320523	0.004430976
282	0	-64.6122	-69.20576	4.593556	0.003372274
283	1	-64.57567	-69.02293	4.447266	0.003903515
284	0	-64.47606	-68.93907	4.463007	0.003842548
285	1	-64.33527	-68.87186	4.536593	0.003569943
286	0	-65.71223	-70.39156	4.679334	0.003095065
287	1	-65.18102	-69.82683	4.645811	0.003200579
288	0	-64.4759	-69.04958	4.573681	0.003439966
289	1	-65.03835	-69.43636	4.398015	0.00410058
290	0	-65.59588	-70.26854	4.672663	0.003115781
291	1	-64.31908	-68.83829	4.519214	0.003632528
292	0	-64.55731	-69.1436	4.586283	0.003396888
293	1	-64.39063	-68.94663	4.556004	0.003501316
294	0	-65.76192	-70.10818	4.346253	0.004318421
295	1	-65.66988	-70.02189	4.352005	0.004293653
296	0	-64.65628	-69.09293	4.436641	0.003945208
297	1	-65.33814	-69.71261	4.374463	0.0041983
298	0	-64.44617	-68.91482	4.468652	0.003820918
299	1	-64.31923	-68.83985	4.520621	0.003627421
300	0	-67.33334	-72.08531	4.751968	0.002878229
301	1	-64.71349	-69.31883	4.605332	0.003332795
302	0	-64.74953	-69.17533	4.4258	0.00398821
303	1	-64.40333	-68.96248	4.559144	0.003490339
304	0	-65.44532	-69.81219	4.366872	0.004230291
305	1	-64.71565	-69.14524	4.429594	0.003973111
306	0	-64.99027	-69.62144	4.631167	0.003247793
307	1	-64.52054	-68.97605	4.455508	0.003871472
308	0	-65.31553	-69.97067	4.655141	0.003170858
309	1	-64.45787	-69.02833	4.570462	0.00345106
310	0	-66.84648	-71.13474	4.288266	0.004576238
311	1	-64.41538	-68.89058	4.475203	0.003795968
312	0	-65.04825	-69.68408	4.635825	0.003232702
313	1	-68.09088	-72.32562	4.234741	0.004827852
314	0	-64.94088	-69.56791	4.627032	0.003261251
315	1	-64.33284	-68.83527	4.502431	0.003694009
316	0	-64.36132	-68.90876	4.547444	0.003531416
317	1	-64.32585	-68.8332	4.507342	0.003675912
318	0	-64.8722	-69.28535	4.41315	0.004038984
319	1	-64.55492	-69.14086	4.585947	0.003398029
320	0	-64.60673	-69.19959	4.592864	0.003374609
321	1	-64.35946	-68.85013	4.490663	0.003737736
322	0	-64.443	-68.91229	4.469289	0.003818487
323	1	-65.42753	-69.79564	4.368108	0.004225067
324	0	-66.06294	-70.76077	4.697831	0.003038342
325	1	-64.59551	-69.18693	4.591423	0.003379472
326	0	-64.31916	-68.83671	4.517547	0.003638589
327	1	-64.51567	-68.97195	4.456287	0.003868457
328	0	-64.32085	-68.83382	4.512973	0.003655272
329	1	-64.34545	-68.88692	4.54147	0.003552575
330	0	-64.96519	-69.59427	4.629088	0.003254554
331	1	-64.32078	-68.84541	4.524631	0.003612906
332	0	-64.36492	-68.91355	4.548631	0.003527228
333	1	-66.46991	-70.77668	4.306769	0.004492341
334	0	-65.0371	-69.43522	4.398122	0.004100141
335	1	-64.55402	-69.0044	4.450389	0.003891343
336	0	-66.30333	-71.01272	4.709389	0.003003427
337	1	-66.48551	-70.79148	4.305974	0.004495914
338	0	-64.32024	-68.83432	4.514079	0.003651228
339	1	-64.66072	-69.26014	4.59942	0.003352556
340	0	-64.44026	-68.9101	4.469844	0.003816367
341	1	-64.32347	-68.8516	4.528124	0.003600307
342	0	-65.35866	-69.73165	4.372982	0.004204525
343	1	-65.2299	-69.87919	4.649284	0.003189483
344	0	-66.01129	-70.34278	4.331484	0.004382675
345	1	-64.85343	-69.4727	4.61927	0.003286662
346	0	-64.32227	-68.83323	4.510961	0.00366263
347	1	-64.36227	-68.85196	4.489695	0.003741356
348	0	-64.39177	-68.94806	4.556296	0.003500294
349	1	-64.32277	-68.83313	4.51036	0.003664833
350	0	-66.05589	-70.38484	4.328953	0.004393781
351	1	-64.32611	-68.83324	4.507127	0.003676701
352	0	-64.56569	-69.01438	4.448688	0.003897965
353	1	-64.5838	-69.17369	4.58989	0.00338466
354	0	-64.31925	-68.83626	4.517011	0.003640539
355	1	-64.48296	-69.05785	4.574891	0.003435809
356	0	-64.97945	-69.38261	4.403166	0.00407951
357	1	-64.37679	-68.86191	4.485122	0.003758505
358	0	-64.79565	-69.40942	4.613775	0.003304774
359	1	-65.89912	-70.23712	4.337991	0.004354249
360	0	-64.3668	-68.91604	4.549233	0.003525105
361	1	-66.6442	-70.94224	4.298032	0.004531761
362	0	-64.36087	-68.90816	4.547291	0.003531957
363	1	-64.429	-68.90119	4.472195	0.003807406
364	0	-64.91522	-69.54004	4.624817	0.003268483
365	1	-64.44362	-69.01138	4.567764	0.003460383
366	0	-64.81732	-69.23594	4.418622	0.004016944
367	1	-64.35078	-68.89442	4.543639	0.003544878
368	0	-64.33519	-68.83627	4.501083	0.003698992
369	1	-64.35078	-68.89442	4.543639	0.003544878
370	0	-65.92597	-70.61683	4.690864	0.003059583
