Iteration	Posterior	Likelihood	Prior	sigma2
0	-64.4042	-68.88203	4.477834	0.003785994
10	-64.80024	-69.22062	4.420384	0.004009872
20	-64.31979	-68.8424	4.522613	0.003620203
30	-65.07019	-69.4655	4.395314	0.004111668
40	-64.95239	-69.5804	4.62801	0.003258062
50	-65.10183	-69.49451	4.392685	0.004122494
60	-64.33118	-68.86537	4.534197	0.003578507
70	-64.32703	-68.83341	4.506377	0.003679459
80	-64.93842	-69.3453	4.406886	0.004064362
90	-64.33753	-68.83736	4.499829	0.003703632
100	-64.41637	-68.97849	4.562126	0.003479947
110	-64.52714	-68.9816	4.454468	0.0038755
120	-64.9602	-69.58887	4.628669	0.003255917
130	-65.81325	-70.49814	4.684892	0.00307791
140	-64.61129	-69.05369	4.442396	0.003922571
150	-64.33636	-68.83681	4.500445	0.003701353
160	-64.77232	-69.19565	4.423329	0.003998077
170	-64.49325	-68.95325	4.46	0.003854123
180	-64.3193	-68.83607	4.516776	0.003641397
190	-64.69254	-69.29557	4.603036	0.003340455
200	-64.56222	-69.14919	4.586967	0.003394567
210	-64.32222	-68.84892	4.526698	0.003605445
220	-64.76018	-69.37042	4.610231	0.003316508
230	-64.3306	-68.83443	4.503831	0.003688841
240	-65.23897	-69.88889	4.649917	0.003187464
250	-64.56461	-69.1519	4.587296	0.00339345
260	-64.39069	-68.94671	4.55602	0.003501261
270	-64.34831	-68.8432	4.494888	0.003721979
280	-65.1308	-69.52112	4.390321	0.004132249
290	-64.42299	-68.89649	4.473498	0.003802448
300	-64.41443	-68.88985	4.47542	0.003795146
310	-64.37498	-68.86064	4.485657	0.003756495
320	-64.37888	-68.86339	4.484513	0.003760795
330	-64.3716	-68.85828	4.486682	0.003752645
340	-64.39993	-68.95826	4.558328	0.003493189
350	-66.8022	-71.5334	4.731198	0.002938635
360	-65.06536	-69.46108	4.39572	0.004109999
370	-64.43013	-68.99519	4.565061	0.003469748
380	-64.59062	-69.03581	4.445183	0.003911652
390	-64.42409	-68.89735	4.473258	0.003803362
400	-66.18491	-70.8887	4.703794	0.003020277
410	-64.42295	-68.98651	4.563555	0.003474977
420	-64.75259	-69.17805	4.425465	0.003989548
430	-64.5186	-69.09922	4.580622	0.003416172
440	-64.32004	-68.83456	4.514523	0.00364961
450	-64.7304	-69.33754	4.607138	0.003326779
460	-64.67339	-69.10794	4.434553	0.003953456
