Iteration	Posterior	Likelihood	Prior	correlations[1]	correlations[2]	correlations[3]	correlations[4]	correlations[5]	correlations[6]	correlations[7]	correlations[8]	correlations[9]	correlations[10]	correlations[11]	correlations[12]	correlations[13]	correlations[14]	correlations[15]	correlations[16]	correlations[17]	correlations[18]	correlations[19]	correlations[20]	correlations[21]	correlations[22]	correlations[23]	correlations[24]	correlations[25]	correlations[26]	correlations[27]	correlations[28]	correlations[29]	correlations[30]	correlations[31]	correlations[32]	correlations[33]	correlations[34]	correlations[35]	correlations[36]	proportional_rates[1]	proportional_rates[2]	proportional_rates[3]	proportional_rates[4]	proportional_rates[5]	proportional_rates[6]	proportional_rates[7]	proportional_rates[8]	proportional_rates[9]	relative_rates[1]	relative_rates[2]	relative_rates[3]	relative_rates[4]	relative_rates[5]	relative_rates[6]	relative_rates[7]	relative_rates[8]	relative_rates[9]	sigma2
100	76.68706	64.839	11.84806	0.191155	-0.0401179	0.660566	0.485891	0.262648	0.0823924	0.413731	0.675796	0.717503	0.106973	0.301234	0.786884	0.492908	0.136025	0.497881	-0.184766	0.17463	0.734254	0.40267	-0.047102	0.466035	0.211805	0.109625	-0.276705	0.0634571	0.133048	0.554499	0.466173	0.0738001	0.682242	0.686594	-0.136688	0.722917	-0.353941	0.600639	0.201636	0.0545399	0.0571078	0.0962713	0.258316	0.0215885	0.0369966	0.131181	0.30763	0.036368	0.490859	0.51397	0.866442	2.32485	0.194296	0.332969	1.18063	2.76867	0.327312	0.4240757
110	74.03814	62.1355	11.90264	0.186173	-0.0502997	0.644969	0.511016	0.284603	0.0964885	0.385498	0.680144	0.690952	0.104504	0.310394	0.839953	0.500827	0.0730457	0.520739	-0.226219	0.234994	0.636665	0.388526	-0.02825	0.443446	0.240639	0.138465	-0.269382	0.0511526	0.0953265	0.50881	0.449762	0.0920622	0.688828	0.698213	-0.157504	0.708478	-0.356381	0.617946	0.204579	0.0603606	0.0649789	0.106546	0.227119	0.0245974	0.040945	0.145181	0.290979	0.0392926	0.543245	0.58481	0.958911	2.04407	0.221377	0.368505	1.30663	2.61882	0.353633	0.4015508
120	79.50531	67.58689	11.91842	0.195097	-0.0355641	0.631461	0.482785	0.285575	0.0928067	0.395551	0.695046	0.69918	0.111023	0.336067	0.851971	0.50569	0.0470154	0.513005	-0.235204	0.206159	0.694543	0.373891	-0.0671233	0.467083	0.228103	0.160435	-0.250465	0.0516554	0.123676	0.529899	0.51143	0.0905615	0.696301	0.702508	-0.164654	0.695585	-0.386458	0.613776	0.179166	0.0617728	0.0686875	0.128023	0.211122	0.0216906	0.0403348	0.143018	0.286644	0.0387071	0.555955	0.618187	1.15221	1.9001	0.195215	0.363013	1.28716	2.57979	0.348364	0.3952627
130	72.35605	60.60071	11.75534	0.190364	-0.0333092	0.636125	0.493776	0.287773	0.108123	0.396973	0.714782	0.711794	0.0704908	0.343578	0.843478	0.518896	0.0492853	0.51464	-0.244952	0.207033	0.67374	0.378722	-0.0447736	0.457904	0.21728	0.0871422	-0.244577	0.0546009	0.157656	0.525722	0.473039	0.066804	0.658317	0.709646	-0.183689	0.688516	-0.371679	0.603832	0.210779	0.0520978	0.0631941	0.107972	0.16928	0.0204005	0.0365984	0.135663	0.380939	0.0338552	0.46888	0.568747	0.971749	1.52352	0.183605	0.329385	1.22097	3.42845	0.304697	0.4652755
140	81.10483	69.16133	11.94351	0.222893	-0.0318946	0.626377	0.496193	0.307216	0.145901	0.41336	0.697793	0.711431	0.0938876	0.294686	0.831637	0.481336	0.0260596	0.526245	-0.249538	0.153305	0.667524	0.350748	-0.0151064	0.460311	0.205088	0.0838075	-0.261915	0.0302343	0.162635	0.529193	0.503163	0.0783451	0.672934	0.692513	-0.0921237	0.770558	-0.350467	0.60009	0.233984	0.0532803	0.0578857	0.0931349	0.229811	0.0216949	0.0374291	0.138742	0.333399	0.0346237	0.479523	0.520971	0.838214	2.0683	0.195254	0.336861	1.24868	3.00059	0.311613	0.3854699
150	83.53451	71.72685	11.80766	0.222494	-0.033831	0.637798	0.468316	0.308672	0.137585	0.386328	0.694769	0.713725	0.0846173	0.289468	0.829398	0.480328	0.0203435	0.585378	-0.250284	0.166933	0.71576	0.361512	-0.0230263	0.468078	0.202344	0.0663189	-0.259314	0.0299837	0.160814	0.514705	0.505435	0.171032	0.672113	0.680985	-0.082721	0.786764	-0.367747	0.603623	0.232945	0.0519772	0.0586074	0.0865544	0.214892	0.0241775	0.0378958	0.140472	0.347384	0.0380398	0.467795	0.527467	0.778989	1.93403	0.217598	0.341062	1.26425	3.12645	0.342358	0.4415591
160	84.13527	72.28897	11.8463	0.219318	0.00325243	0.633854	0.455928	0.292531	0.144373	0.382036	0.694349	0.719709	0.0756685	0.299845	0.836773	0.491577	0.0142813	0.583205	-0.243177	0.144871	0.723755	0.356891	-0.0125219	0.463359	0.15588	0.0580069	-0.251034	0.0218735	0.156134	0.523513	0.497733	0.166564	0.673794	0.675788	-0.0786402	0.775939	-0.380188	0.627621	0.240388	0.0520473	0.0582423	0.0786149	0.213553	0.0185818	0.0351682	0.155392	0.353989	0.0344111	0.468425	0.524181	0.707534	1.92198	0.167236	0.316514	1.39853	3.1859	0.3097	0.424823
170	82.0415	70.07179	11.96971	0.224405	0.00800943	0.628472	0.47958	0.324717	0.12655	0.392496	0.69123	0.722445	0.062851	0.309221	0.854083	0.492472	-0.0119949	0.569239	-0.248152	0.235713	0.71442	0.361346	-0.0471537	0.431083	0.129949	0.0649389	-0.24423	0.013129	0.128441	0.536418	0.442702	0.153035	0.685947	0.689906	-0.114376	0.754507	-0.396327	0.602681	0.250182	0.050627	0.0586922	0.0891002	0.180639	0.0206505	0.0354399	0.144488	0.387174	0.0331895	0.455643	0.52823	0.801902	1.62575	0.185854	0.318959	1.30039	3.48456	0.298706	0.3754994
180	77.26588	65.54413	11.72176	0.226798	0.0314824	0.624799	0.453734	0.325113	0.140589	0.405837	0.706194	0.73831	0.0538539	0.355901	0.870021	0.499634	0.0284418	0.597163	-0.217401	0.227745	0.729336	0.407317	-0.0870184	0.419503	0.134192	0.0680943	-0.259784	0.00219828	0.131166	0.579536	0.525813	0.151698	0.697038	0.725922	-0.12475	0.740712	-0.373266	0.649807	0.262557	0.0504881	0.0649177	0.0888557	0.170659	0.0217644	0.0340305	0.143468	0.386112	0.0397048	0.454393	0.584259	0.799702	1.53593	0.19588	0.306274	1.29122	3.475	0.357343	0.4811668
190	81.11484	69.4071	11.70774	0.249983	0.0728272	0.624701	0.417522	0.314555	0.151215	0.395615	0.722368	0.733617	0.0718766	0.331829	0.853934	0.485462	0.0245726	0.560669	-0.192085	0.231953	0.684832	0.415644	-0.0832862	0.414182	0.181746	0.080218	-0.236786	0.00419669	0.152132	0.582337	0.551686	0.115228	0.703071	0.729178	-0.118097	0.735079	-0.364123	0.657091	0.248202	0.0469314	0.0649227	0.107024	0.169682	0.0202312	0.0374868	0.133362	0.385834	0.0345269	0.422383	0.584305	0.963213	1.52714	0.182081	0.337381	1.20025	3.4725	0.310742	0.4879581
