Iteration	Posterior	Likelihood	Prior	correlations[1]	correlations[2]	correlations[3]	correlations[4]	correlations[5]	correlations[6]	correlations[7]	correlations[8]	correlations[9]	correlations[10]	correlations[11]	correlations[12]	correlations[13]	correlations[14]	correlations[15]	correlations[16]	correlations[17]	correlations[18]	correlations[19]	correlations[20]	correlations[21]	correlations[22]	correlations[23]	correlations[24]	correlations[25]	correlations[26]	correlations[27]	correlations[28]	correlations[29]	correlations[30]	correlations[31]	correlations[32]	correlations[33]	correlations[34]	correlations[35]	correlations[36]	proportional_rates[1]	proportional_rates[2]	proportional_rates[3]	proportional_rates[4]	proportional_rates[5]	proportional_rates[6]	proportional_rates[7]	proportional_rates[8]	proportional_rates[9]	relative_rates[1]	relative_rates[2]	relative_rates[3]	relative_rates[4]	relative_rates[5]	relative_rates[6]	relative_rates[7]	relative_rates[8]	relative_rates[9]	sigma2
0	76.56543	64.48227	12.08316	0.414198	0.503844	0.395995	0.678425	0.501292	0.48711	0.342328	0.83961	0.508842	0.213016	0.367245	0.754617	0.644827	0.0888937	0.551297	-0.0994228	0.416362	0.593862	0.466943	0.0913905	0.657354	0.167473	0.311368	0.0575611	0.0507483	0.200033	0.351134	0.336001	0.550027	0.742909	0.705738	0.000782157	0.68917	-0.274405	0.725196	0.244367	0.0492631	0.0844502	0.0844893	0.144048	0.0397831	0.0607004	0.151348	0.334057	0.0518622	0.443368	0.760051	0.760403	1.29643	0.358048	0.546303	1.36213	3.00651	0.46676	0.3352281
10	82.19708	70.12745	12.06964	0.449525	0.501731	0.42781	0.639013	0.492564	0.551891	0.30076	0.846859	0.523913	0.202415	0.403177	0.799098	0.66413	0.0820455	0.564225	-0.111501	0.425348	0.617185	0.46564	0.0741979	0.634573	0.156904	0.313349	0.0774896	-0.035135	0.154298	0.42079	0.35602	0.547325	0.741156	0.718339	-0.0051038	0.624153	-0.283468	0.717014	0.232666	0.0397835	0.0795805	0.0954406	0.121954	0.0374891	0.0572002	0.14262	0.378568	0.0473646	0.358051	0.716224	0.858965	1.09758	0.337402	0.514801	1.28358	3.40711	0.426282	0.3397924
20	91.18163	78.98701	12.19462	0.451728	0.519727	0.361953	0.676716	0.518196	0.571951	0.247668	0.832726	0.493517	0.169383	0.36867	0.836057	0.643286	0.173652	0.611275	-0.0904069	0.420516	0.606041	0.477286	0.0755366	0.675918	0.19624	0.289385	-0.0210502	-0.0487723	0.133117	0.422491	0.338038	0.475743	0.748584	0.706225	-0.064611	0.735065	-0.285461	0.719913	0.213687	0.0486597	0.079664	0.0955407	0.122082	0.0375284	0.0449308	0.14277	0.378965	0.0498599	0.437938	0.716976	0.859866	1.09874	0.337756	0.404377	1.28493	3.41068	0.448739	0.2998699
30	90.42967	78.28329	12.14638	0.440116	0.526562	0.364865	0.663498	0.533961	0.590478	0.166428	0.8497	0.484778	0.151907	0.370422	0.81493	0.575181	0.226283	0.615984	-0.103415	0.350231	0.56129	0.493719	-0.0237461	0.649213	0.199614	0.231705	-0.0539902	0.0332529	0.141362	0.425231	0.345936	0.466118	0.717068	0.733831	-0.0494583	0.750535	-0.295849	0.710989	0.196335	0.0477058	0.0846747	0.10192	0.140798	0.0452015	0.055677	0.165218	0.305321	0.0534826	0.429352	0.762073	0.917283	1.26718	0.406813	0.501093	1.48696	2.74789	0.481344	0.3146894
40	93.82605	81.72685	12.0992	0.451442	0.580077	0.414792	0.612704	0.526188	0.56805	0.214602	0.839765	0.493521	0.151	0.324845	0.805664	0.594743	0.206481	0.613376	-0.0590196	0.349537	0.524356	0.494023	-0.0244622	0.677061	0.260677	0.242673	-0.0456765	-0.0138889	0.177575	0.424503	0.363173	0.424579	0.760428	0.717482	-0.0645007	0.749293	-0.283749	0.704585	0.205789	0.0465015	0.0760059	0.0993476	0.137244	0.0363913	0.0542715	0.161048	0.337058	0.0521326	0.418514	0.684053	0.894128	1.2352	0.327522	0.488444	1.44943	3.03352	0.469193	0.3298931
50	97.21622	85.06289	12.15333	0.467886	0.546429	0.463027	0.661703	0.528613	0.558842	0.193479	0.814685	0.554325	0.122166	0.304863	0.800095	0.583416	0.193542	0.595159	-0.0439362	0.320769	0.586112	0.450626	-0.0148752	0.659056	0.302773	0.229372	-0.0305154	-0.0287501	0.201263	0.430598	0.360596	0.421718	0.747036	0.738678	-0.0662685	0.748146	-0.295159	0.681833	0.197112	0.0423191	0.0750695	0.105269	0.135553	0.0373658	0.0536029	0.16801	0.332905	0.0499053	0.380872	0.675625	0.947424	1.21998	0.336292	0.482426	1.51209	2.99615	0.449148	0.3125112
60	91.14515	79.15618	11.98897	0.478487	0.516603	0.429803	0.671781	0.533071	0.554285	0.227968	0.807414	0.469654	0.218801	0.306657	0.808755	0.582402	0.196021	0.568834	-0.0604262	0.330477	0.569952	0.463783	0.0455128	0.640514	0.288746	0.216912	-0.0568475	0.0167828	0.186602	0.421692	0.373426	0.435905	0.771161	0.757469	-0.019825	0.765095	-0.286492	0.675277	0.242672	0.0418398	0.0774222	0.0939131	0.161322	0.0338273	0.0529957	0.160025	0.329134	0.0495214	0.376558	0.6968	0.845218	1.45189	0.304445	0.476961	1.44022	2.96221	0.445693	0.3683361
70	92.41524	80.43181	11.98342	0.513521	0.506545	0.442777	0.665292	0.532551	0.542368	0.271252	0.821069	0.553175	0.207223	0.266266	0.803729	0.574526	0.221747	0.606701	-0.133299	0.33168	0.543235	0.435785	0.0933236	0.648614	0.294247	0.186981	-0.0720742	0.0691895	0.20104	0.433637	0.373256	0.422368	0.744566	0.778774	-0.00747579	0.770224	-0.250706	0.682205	0.249419	0.0440116	0.0628778	0.0815102	0.169696	0.0373692	0.0531676	0.150429	0.346219	0.0547196	0.396104	0.5659	0.733592	1.52726	0.336323	0.478509	1.35386	3.11597	0.492476	0.3703869
80	95.57241	83.44366	12.12875	0.534156	0.514263	0.452588	0.663908	0.532992	0.528134	0.316913	0.842485	0.54192	0.202689	0.300913	0.77973	0.565474	0.231886	0.634345	-0.161222	0.302062	0.550848	0.476265	0.0828188	0.661292	0.28332	0.187428	-0.0464194	0.0364749	0.200108	0.4483	0.359198	0.45429	0.735064	0.776896	-0.0102665	0.769984	-0.287902	0.728026	0.245113	0.0459865	0.071735	0.0929561	0.127184	0.0405551	0.0555534	0.148195	0.361755	0.0560799	0.413879	0.645615	0.836605	1.14466	0.364996	0.49998	1.33376	3.25579	0.504719	0.3202888
90	101.066	88.96332	12.10271	0.530878	0.493236	0.471919	0.650753	0.540097	0.525782	0.303777	0.853127	0.601523	0.220469	0.366031	0.770358	0.575079	0.234067	0.633005	-0.0601544	0.276424	0.55867	0.452539	0.109148	0.625614	0.306487	0.252061	-0.0307663	0.0318288	0.201745	0.428184	0.377278	0.431955	0.72908	0.776318	-0.0177618	0.757102	-0.27525	0.757098	0.228397	0.0534819	0.0689264	0.080332	0.122204	0.0351513	0.0533783	0.175367	0.357275	0.0538842	0.481337	0.620337	0.722988	1.09984	0.316362	0.480405	1.5783	3.21547	0.484958	0.3287391
100	100.9758	88.849	12.12682	0.534176	0.503561	0.482099	0.63299	0.536116	0.505552	0.304993	0.861585	0.603063	0.182455	0.356588	0.773966	0.566152	0.206668	0.616549	-0.0253317	0.294061	0.549391	0.423029	0.108187	0.579205	0.311285	0.163064	-0.0306075	-0.00722284	0.195399	0.530107	0.37828	0.449392	0.728999	0.829772	-0.0472425	0.775973	-0.276496	0.739169	0.248086	0.0469595	0.0725415	0.0905205	0.13566	0.0339254	0.0521196	0.171231	0.34885	0.048192	0.422636	0.652873	0.814685	1.22094	0.305329	0.469076	1.54108	3.13965	0.433728	0.3209072
110	98.15613	86.08083	12.0753	0.546317	0.510789	0.490664	0.628223	0.571903	0.519379	0.289184	0.834875	0.6287	0.158257	0.376654	0.750575	0.550705	0.190776	0.599972	-0.0673436	0.223641	0.549225	0.460465	0.0955492	0.586873	0.314451	0.16298	-0.0326777	0.0237328	0.209842	0.546512	0.401035	0.513824	0.737889	0.826052	-0.0157122	0.789222	-0.261581	0.743145	0.250158	0.0463831	0.0753666	0.0894094	0.133995	0.033509	0.0514798	0.169129	0.353127	0.0476004	0.417448	0.678299	0.804685	1.20595	0.301581	0.463319	1.52216	3.17815	0.428404	0.3378721
120	102.6211	90.67841	11.94273	0.549025	0.478974	0.495575	0.661382	0.581878	0.514299	0.294304	0.84823	0.64916	0.184421	0.387025	0.735225	0.546693	0.193213	0.608262	-0.0803576	0.296719	0.565527	0.402511	0.118119	0.596174	0.291729	0.157483	-0.0384312	0.0277305	0.182641	0.620116	0.450754	0.514724	0.749264	0.839808	0.00189031	0.814108	-0.257563	0.748128	0.236467	0.0466224	0.0757553	0.0898706	0.130607	0.0355321	0.0517454	0.160548	0.355396	0.0539238	0.419601	0.681798	0.808835	1.17546	0.319789	0.465708	1.44493	3.19856	0.485314	0.3857688
