Iteration	Posterior	Likelihood	Prior	correlations[1]	correlations[2]	correlations[3]	correlations[4]	correlations[5]	correlations[6]	correlations[7]	correlations[8]	correlations[9]	correlations[10]	correlations[11]	correlations[12]	correlations[13]	correlations[14]	correlations[15]	correlations[16]	correlations[17]	correlations[18]	correlations[19]	correlations[20]	correlations[21]	correlations[22]	correlations[23]	correlations[24]	correlations[25]	correlations[26]	correlations[27]	correlations[28]	correlations[29]	correlations[30]	correlations[31]	correlations[32]	correlations[33]	correlations[34]	correlations[35]	correlations[36]	proportional_rates[1]	proportional_rates[2]	proportional_rates[3]	proportional_rates[4]	proportional_rates[5]	proportional_rates[6]	proportional_rates[7]	proportional_rates[8]	proportional_rates[9]	relative_rates[1]	relative_rates[2]	relative_rates[3]	relative_rates[4]	relative_rates[5]	relative_rates[6]	relative_rates[7]	relative_rates[8]	relative_rates[9]	sigma2
130	102.3964	90.34128	12.05514	0.572225	0.429186	0.498547	0.665504	0.596295	0.510758	0.330262	0.83362	0.658673	0.209184	0.382196	0.739367	0.547211	0.191703	0.590555	-0.123438	0.29514	0.569497	0.418171	0.129877	0.597953	0.290204	0.167726	-0.0482441	0.0513756	0.17438	0.573901	0.417956	0.514772	0.748119	0.831648	-0.0178408	0.813846	-0.244848	0.749202	0.245331	0.0451575	0.0733752	0.0870469	0.126503	0.0359799	0.0468552	0.155504	0.376855	0.0527234	0.406418	0.660376	0.783422	1.13853	0.323819	0.421697	1.39953	3.3917	0.474511	0.3447538
140	100.09	88.01762	12.07241	0.599805	0.536774	0.511741	0.651846	0.638764	0.523253	0.341092	0.815336	0.471558	0.19342	0.377357	0.696132	0.53469	0.192583	0.607229	-0.0123867	0.282162	0.604764	0.446108	0.134816	0.603418	0.300754	0.18159	-0.0896118	0.0506694	0.16755	0.559755	0.399501	0.479362	0.754209	0.803353	-0.0140871	0.847022	-0.262551	0.778902	0.224286	0.0454398	0.0709517	0.0939689	0.125819	0.0344489	0.0524093	0.156476	0.367434	0.053053	0.408958	0.638566	0.84572	1.13237	0.31004	0.471684	1.40828	3.3069	0.477477	0.3388501
150	102.2643	90.09575	12.16853	0.579401	0.502348	0.502311	0.684686	0.63787	0.504707	0.318154	0.804331	0.485442	0.347044	0.405423	0.698942	0.558881	0.194309	0.610461	-0.0304074	0.325088	0.598058	0.431687	0.159614	0.629972	0.319699	0.184033	-0.0893393	0.0246734	0.137682	0.569691	0.369257	0.450735	0.706354	0.798758	-0.021693	0.858625	-0.261371	0.754555	0.232948	0.0449777	0.0742652	0.0930132	0.141313	0.0394566	0.0457432	0.154884	0.355956	0.0503908	0.404799	0.668387	0.837119	1.27182	0.35511	0.411689	1.39396	3.2036	0.453518	0.3077958
160	101.1072	88.99854	12.10864	0.613753	0.534721	0.532446	0.696218	0.666232	0.507146	0.319267	0.810218	0.47513	0.211051	0.411514	0.649373	0.535595	0.180459	0.598355	0.0134612	0.381197	0.608016	0.413054	0.134075	0.658091	0.388879	0.146235	-0.0575544	0.0346614	0.165239	0.589666	0.368675	0.434558	0.722584	0.856803	-0.0254753	0.873032	-0.318812	0.750148	0.216868	0.0468825	0.0727954	0.0734021	0.145426	0.0368566	0.0470744	0.159392	0.366315	0.0518573	0.421943	0.655159	0.660619	1.30883	0.331709	0.423669	1.43452	3.29683	0.466716	0.3267934
170	98.4848	86.28076	12.20404	0.59184	0.540231	0.542803	0.70877	0.675031	0.505353	0.302081	0.815613	0.605703	0.235789	0.368731	0.647629	0.541499	0.210314	0.599322	-0.0648084	0.352895	0.599235	0.437054	0.125179	0.628811	0.345062	0.190243	-0.0296461	0.0308627	0.159543	0.606259	0.370311	0.469353	0.716116	0.835319	-0.0786388	0.871345	-0.326359	0.746447	0.212585	0.0469033	0.0728276	0.0734284	0.157763	0.0359053	0.0470952	0.159462	0.354735	0.0518803	0.42213	0.655449	0.660856	1.41987	0.323148	0.423857	1.43516	3.19261	0.466922	0.2970595
180	105.3345	93.13784	12.19669	0.572226	0.446328	0.553363	0.714216	0.687236	0.529776	0.278394	0.801255	0.609783	0.23309	0.439098	0.655038	0.571813	0.205832	0.625196	-0.061964	0.330604	0.679708	0.502689	0.0370688	0.640546	0.325393	0.204501	-0.0367082	0.0351536	0.145196	0.534533	0.362342	0.515301	0.711386	0.8421	-0.0608133	0.882784	-0.275852	0.753471	0.226494	0.0431702	0.0688162	0.0918379	0.17809	0.0339614	0.0507132	0.146223	0.33553	0.0516593	0.388532	0.619346	0.826541	1.60281	0.305653	0.456418	1.316	3.01977	0.464933	0.2992489
190	106.9458	94.83574	12.11005	0.590629	0.437594	0.558289	0.710475	0.688863	0.56407	0.276721	0.810848	0.615683	0.221836	0.415555	0.678842	0.569319	0.206486	0.638097	-0.0566956	0.324159	0.720362	0.512812	0.0730837	0.703627	0.325341	0.209573	-0.055588	0.0178243	0.156216	0.525039	0.40126	0.529106	0.68774	0.817984	-0.0381767	0.8556	-0.242018	0.758323	0.226596	0.0424394	0.0724423	0.0856175	0.159613	0.0357509	0.0492038	0.153927	0.350589	0.050417	0.381954	0.65198	0.770557	1.43652	0.321758	0.442834	1.38535	3.1553	0.453753	0.3263331
200	106.0505	93.97878	12.07171	0.576879	0.433009	0.564956	0.697753	0.685955	0.567113	0.26604	0.803078	0.642412	0.205592	0.438764	0.672702	0.562386	0.175143	0.625506	-0.0703461	0.318465	0.705518	0.512134	0.0706672	0.679895	0.291542	0.201186	-0.065747	0.0507765	0.176693	0.512394	0.455757	0.442471	0.681825	0.795174	-0.0753345	0.867848	-0.25361	0.756898	0.202832	0.0438792	0.0688065	0.0932645	0.172816	0.0332523	0.0508732	0.15915	0.325832	0.0521275	0.394913	0.619259	0.83938	1.55534	0.299271	0.457859	1.43235	2.93248	0.469147	0.3390873
210	106.5046	94.46463	12.03996	0.609631	0.463677	0.560446	0.711397	0.684584	0.582218	0.231187	0.816071	0.691544	0.104705	0.47719	0.701785	0.567049	0.179753	0.668185	-0.0950175	0.410385	0.725787	0.509481	-0.00440288	0.672009	0.294486	0.160171	-0.0786644	0.102463	0.157547	0.499047	0.401686	0.405092	0.688916	0.789575	-0.0539883	0.873282	-0.270172	0.753271	0.120406	0.0467325	0.071778	0.107846	0.17302	0.0308225	0.0509334	0.155342	0.311336	0.0521891	0.420592	0.646002	0.970611	1.55718	0.277402	0.4584	1.39808	2.80203	0.469702	0.3500289
220	100.8958	88.76512	12.13069	0.560786	0.478383	0.562818	0.70442	0.696476	0.544502	0.197873	0.787466	0.616016	0.0993167	0.443907	0.676644	0.602643	0.221011	0.571469	-0.0968897	0.406823	0.716322	0.516894	-0.018646	0.658626	0.305645	0.143747	-0.0861851	0.0931594	0.16911	0.493496	0.38737	0.385591	0.692728	0.820964	-0.064946	0.875092	-0.264719	0.779135	0.0282614	0.0463026	0.0925142	0.118288	0.171429	0.030539	0.0461209	0.153914	0.287274	0.0536195	0.416724	0.832628	1.06459	1.54286	0.274851	0.415088	1.38522	2.58546	0.482575	0.3196683
230	107.0851	94.99062	12.09448	0.537505	0.482041	0.568064	0.671592	0.685874	0.524333	0.185815	0.782737	0.649821	0.147327	0.392522	0.656911	0.581552	0.270004	0.54896	-0.0838671	0.39196	0.710649	0.617594	-0.0149273	0.676903	0.285507	0.174132	-0.120097	0.0190395	0.153195	0.515528	0.374285	0.418886	0.630932	0.799891	-0.0459257	0.922011	-0.243262	0.785658	0.0426303	0.0392216	0.0892969	0.0870206	0.165467	0.0271048	0.0448463	0.141966	0.356127	0.0489501	0.352994	0.803672	0.783186	1.4892	0.243943	0.403617	1.27769	3.20514	0.440551	0.3314558
240	106.0346	94.02992	12.00472	0.502591	0.498858	0.596386	0.589031	0.690658	0.529	0.193242	0.767076	0.659688	0.143138	0.342735	0.664619	0.548736	0.26277	0.514347	-0.0620301	0.283502	0.777854	0.60498	0.000111594	0.68815	0.270745	0.152715	-0.117224	0.041943	0.125106	0.488414	0.364988	0.432184	0.599595	0.787255	-0.0743011	0.91096	-0.219435	0.784018	0.0287125	0.0437531	0.089559	0.0799248	0.165953	0.0271843	0.0449779	0.142383	0.357172	0.0490938	0.393778	0.806031	0.719323	1.49357	0.244659	0.404801	1.28144	3.21455	0.441844	0.3625817
250	104.2352	92.22502	12.01021	0.507132	0.491906	0.566119	0.597491	0.66687	0.549001	0.173854	0.768935	0.672709	0.147942	0.350726	0.694569	0.579077	0.25713	0.522922	-0.0780518	0.279091	0.764685	0.612416	-0.0163024	0.679178	0.259959	0.168288	-0.105023	0.0471257	0.132166	0.497321	0.331217	0.497451	0.663246	0.774403	-0.0813495	0.883665	-0.254243	0.786325	0.016811	0.0441455	0.0795637	0.0806909	0.167872	0.0274988	0.0454983	0.144838	0.361304	0.0485888	0.397309	0.716074	0.726218	1.51085	0.247489	0.409484	1.30354	3.25174	0.437299	0.3605959
260	99.19002	87.09813	12.09189	0.534199	0.429396	0.57297	0.595512	0.61729	0.568448	0.194438	0.736446	0.670016	0.153396	0.365883	0.688557	0.567575	0.260135	0.579973	-0.0458844	0.302097	0.769631	0.591501	-0.0275232	0.696639	0.271113	0.13339	-0.0962041	0.0642048	0.108354	0.454805	0.355876	0.460073	0.653197	0.779089	-0.121462	0.88487	-0.216629	0.795729	0.0582939	0.0429613	0.0958214	0.101628	0.157083	0.0343837	0.0436825	0.129766	0.346885	0.0477894	0.386652	0.862393	0.914656	1.41374	0.309453	0.393143	1.16789	3.12196	0.430105	0.3323129
270	108.6339	96.47811	12.15576	0.558021	0.446918	0.562466	0.618314	0.660402	0.57664	0.218774	0.730764	0.648904	0.163266	0.29845	0.737291	0.560295	0.227558	0.587111	0.00733943	0.310663	0.754652	0.511297	-0.0547008	0.698933	0.264964	0.116122	-0.0610115	0.0397377	0.0894977	0.46725	0.343828	0.447839	0.575202	0.795183	-0.0429984	0.918282	-0.234899	0.789829	0.0539899	0.043772	0.0855417	0.0889986	0.160047	0.0271012	0.0445068	0.147912	0.35343	0.0486912	0.393948	0.769875	0.800987	1.44042	0.243911	0.400561	1.3312	3.18087	0.438221	0.3117535
280	103.8374	91.68131	12.15611	0.587309	0.485452	0.561649	0.619651	0.672436	0.603731	0.23106	0.725821	0.556764	0.160922	0.350993	0.799736	0.574361	0.213675	0.618134	-0.0357264	0.28504	0.708934	0.508345	-0.0543004	0.684899	0.325795	0.148651	-0.00474638	0.0238284	0.0765723	0.464117	0.367545	0.453073	0.571349	0.79816	-0.0268807	0.898727	-0.255947	0.814277	0.0148495	0.0432698	0.0928926	0.0754641	0.157364	0.0368474	0.0502426	0.146214	0.349375	0.0483302	0.389428	0.836033	0.679177	1.41627	0.331627	0.452183	1.31593	3.14438	0.434972	0.3116453
290	101.2261	89.12453	12.10158	0.591795	0.481272	0.579356	0.629539	0.670994	0.593595	0.264287	0.699863	0.538795	0.172401	0.37628	0.788429	0.56137	0.279958	0.741573	-0.0647355	0.348077	0.756687	0.535334	-0.0119392	0.695843	0.317108	0.146809	0.000271393	0.0162936	0.109766	0.472396	0.348483	0.486747	0.527976	0.812519	-0.00503194	0.89965	-0.239787	0.808478	0.055854	0.0434901	0.0758221	0.104467	0.158165	0.0370351	0.0484657	0.132823	0.351155	0.0485763	0.391411	0.682399	0.940206	1.42349	0.333316	0.436191	1.19541	3.16039	0.437187	0.329108
300	98.89182	86.63987	12.25195	0.609657	0.480238	0.58662	0.640908	0.697382	0.547693	0.271308	0.69252	0.508517	0.21343	0.462627	0.693155	0.507986	0.33294	0.673386	-0.0346157	0.34049	0.763178	0.554822	0.0320402	0.68902	0.331358	0.199017	0.0081218	0.00566032	0.121487	0.46378	0.343937	0.481425	0.535967	0.800772	0.0354428	0.924468	-0.237529	0.817674	0.091403	0.0469621	0.0818752	0.113441	0.177898	0.0335605	0.0523348	0.127298	0.313577	0.053054	0.422659	0.736876	1.02097	1.60108	0.302044	0.471013	1.14568	2.82219	0.477486	0.2831615
310	100.0861	87.95654	12.12959	0.607696	0.450368	0.582809	0.583892	0.700469	0.569039	0.255789	0.690752	0.536424	0.200903	0.515037	0.73251	0.537336	0.324817	0.681749	-0.022688	0.340902	0.727612	0.549127	0.00788472	0.700204	0.297505	0.205019	-0.0121036	0.0139315	0.0887036	0.473383	0.272851	0.488434	0.545499	0.809287	0.0557065	0.906875	-0.259955	0.786549	0.0889325	0.0481217	0.0828505	0.126057	0.168434	0.0317752	0.047123	0.148509	0.296896	0.0502318	0.433096	0.745655	1.13452	1.51591	0.285977	0.424107	1.33659	2.67207	0.452086	0.3200192
320	106.1235	94.07149	12.05204	0.622217	0.462806	0.563762	0.599975	0.728667	0.62432	0.19379	0.725916	0.575452	0.199362	0.532874	0.690082	0.543203	0.36617	0.646722	-0.0389537	0.215384	0.756754	0.534878	-0.00229015	0.71618	0.32682	0.162243	-0.0249041	0.0566039	0.0889068	0.488131	0.336233	0.499249	0.518	0.781053	0.042449	0.948906	-0.296376	0.767975	0.119579	0.0462447	0.0796188	0.132201	0.138449	0.035194	0.0495759	0.148004	0.315276	0.055436	0.416202	0.71657	1.18981	1.24604	0.316746	0.446183	1.33204	2.83749	0.498924	0.3458231
330	106.6019	94.4473	12.15456	0.650226	0.46243	0.59508	0.532202	0.719164	0.597652	0.214948	0.747237	0.582596	0.257798	0.552619	0.663805	0.534066	0.331595	0.675234	-0.0782329	0.188023	0.740546	0.531834	0.0105671	0.701549	0.350589	0.183092	-0.0360871	0.0920127	0.115715	0.46217	0.330096	0.490924	0.555988	0.797029	0.0535313	0.923767	-0.256248	0.808726	0.171885	0.0453642	0.0805425	0.133735	0.153661	0.0397284	0.0500056	0.146747	0.294138	0.0560792	0.408278	0.724883	1.20361	1.38295	0.357556	0.45005	1.32072	2.64724	0.504712	0.3121265
340	105.6718	93.43573	12.2361	0.622882	0.459458	0.600578	0.599941	0.727647	0.593704	0.199631	0.764026	0.524218	0.240911	0.497528	0.711698	0.526067	0.363458	0.656523	-0.0195661	0.0756459	0.731976	0.508209	-0.0295317	0.691228	0.347402	0.190773	-0.024865	0.0652032	0.137262	0.466946	0.348767	0.472679	0.546817	0.808683	0.0700946	0.911652	-0.230561	0.778769	0.175092	0.0445931	0.0748998	0.131461	0.185753	0.0390531	0.056501	0.144253	0.268594	0.0548923	0.401338	0.674098	1.18315	1.67178	0.351477	0.508509	1.29827	2.41735	0.494031	0.287687
350	101.3741	89.28024	12.09388	0.658968	0.400174	0.609677	0.627688	0.767758	0.599269	0.247826	0.800407	0.583645	0.237971	0.477957	0.719181	0.546775	0.404712	0.675189	-0.0369225	0.0616463	0.733824	0.527791	-0.0513537	0.636798	0.32777	0.20667	-0.0256561	0.0926713	0.193673	0.474039	0.363966	0.416381	0.531381	0.806562	0.108574	0.917303	-0.195069	0.787277	0.192419	0.0443136	0.0744305	0.125869	0.184589	0.0416721	0.056147	0.143349	0.266911	0.0627196	0.398823	0.669874	1.13282	1.6613	0.375049	0.505323	1.29014	2.4022	0.564476	0.3316537
360	110.111	98.10306	12.00796	0.647478	0.410901	0.614636	0.557677	0.747053	0.601186	0.267566	0.826325	0.572655	0.263001	0.485616	0.733646	0.515052	0.435193	0.68816	-0.025335	0.203305	0.726573	0.538333	-0.0586208	0.701136	0.386001	0.178048	-0.0169723	0.106675	0.22209	0.52664	0.399189	0.428576	0.516089	0.810189	0.124186	0.93751	-0.194111	0.771886	0.183515	0.0578505	0.0673842	0.105477	0.177565	0.0316981	0.0460895	0.134735	0.320249	0.058951	0.520654	0.606458	0.949296	1.59808	0.285283	0.414806	1.21262	2.88224	0.530559	0.3614085
370	108.1438	96.09278	12.051	0.679373	0.432943	0.620859	0.559413	0.7319	0.617762	0.262191	0.809217	0.571643	0.274628	0.475158	0.70379	0.52653	0.374083	0.660332	-0.0163873	0.156558	0.729002	0.53544	-0.0402923	0.70827	0.322023	0.1691	-0.0398887	0.0978291	0.217849	0.490916	0.349858	0.404679	0.517345	0.79688	0.109287	0.944775	-0.202816	0.786266	0.177572	0.0588779	0.0685809	0.107351	0.193427	0.0322611	0.0469081	0.150805	0.283509	0.0582801	0.529901	0.617228	0.966155	1.74084	0.29035	0.422173	1.35725	2.55158	0.524521	0.3461841
380	104.4665	92.46971	11.99676	0.671765	0.439461	0.62123	0.558841	0.725468	0.594974	0.277064	0.807008	0.566148	0.25398	0.382724	0.71012	0.520553	0.35682	0.663074	-0.017794	0.152129	0.720799	0.520967	-0.099178	0.64538	0.30273	0.149562	-0.0424126	0.116841	0.238345	0.516112	0.342516	0.4523	0.532415	0.802443	0.123135	0.926835	-0.205555	0.766815	0.180402	0.058005	0.0675642	0.105759	0.204048	0.0317828	0.0475483	0.14857	0.279306	0.0574162	0.522045	0.608078	0.951832	1.83643	0.286045	0.427935	1.33713	2.51376	0.516745	0.3654787
390	109.0385	96.88258	12.15593	0.680597	0.454714	0.638764	0.538005	0.743354	0.561426	0.282779	0.819099	0.58414	0.252449	0.407016	0.722473	0.547657	0.334694	0.675266	-0.0335633	0.147612	0.718779	0.53282	-0.0763226	0.661419	0.289668	0.150932	-0.0284956	0.142293	0.225331	0.507868	0.42273	0.387399	0.588474	0.802371	0.112513	0.912643	-0.226557	0.793029	0.164306	0.0568907	0.0610442	0.102403	0.208475	0.0322749	0.0482845	0.148692	0.283631	0.0583051	0.512016	0.549397	0.921627	1.87628	0.290474	0.43456	1.33823	2.55268	0.524746	0.3117003
400	103.4265	91.23897	12.18757	0.643031	0.44795	0.618587	0.522228	0.695632	0.557325	0.251495	0.795626	0.621087	0.283386	0.390949	0.732665	0.545723	0.249191	0.708483	-0.0413449	0.0333657	0.717559	0.533354	-0.137009	0.652435	0.265234	0.130695	-0.0400384	0.0927363	0.202258	0.525063	0.440929	0.39355	0.561843	0.791724	0.0816675	0.939632	-0.189767	0.808911	0.132815	0.0544356	0.0584099	0.117838	0.191215	0.0375461	0.0469339	0.16794	0.271391	0.0542919	0.489921	0.525689	1.06054	1.72093	0.337915	0.422405	1.51146	2.44252	0.488627	0.3019925
410	110.3188	98.10146	12.21729	0.641972	0.432888	0.579116	0.492084	0.71648	0.532271	0.272707	0.81866	0.635476	0.19876	0.383799	0.794733	0.513951	0.247994	0.684219	-0.0469981	0.132745	0.730278	0.525411	-0.171635	0.620053	0.22156	0.156924	-0.105293	0.141826	0.179835	0.536447	0.465098	0.449951	0.577294	0.793669	0.0805489	0.913925	-0.205168	0.788748	0.158155	0.045728	0.0727251	0.113138	0.183588	0.0360486	0.045062	0.163197	0.292644	0.0478695	0.411552	0.654526	1.01824	1.6523	0.324438	0.405558	1.46877	2.63379	0.430825	0.2931486
